Release Group,Gross,Maxtheater,Openning,Percent of total,Openning theater,Date,Year
Dune: Part Two,1535100,2865.0,388787.0,25.3,2865.0,Mar 1,2024
Spy x Family Code: White,1063386,878.0,147282.0,13.9,878.0,Feb 10,2024
The Beekeeper,799821,2456.0,205536.0,25.7,2456.0,Jan 12,2024
"Dao, Pho Va Piano",666334,571.0,36775.0,5.5,93.0,Feb 23,2024
Noah's Ark,656562,767.0,141211.0,21.5,767.0,Feb 10,2024
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,511679,2423.0,320017.0,62.5,2423.0,Feb 23,2024
Madame Web,419786,310.0,134470.0,32.0,1.0,Feb 14,2024
Baghead,401968,1754.0,200949.0,50.0,1754.0,Mar 1,2024
Dogs at the Opera,295244,886.0,163028.0,55.2,886.0,Feb 16,2024
Citizen of a Kind,279853,1134.0,104204.0,37.2,1134.0,Mar 1,2024
Argylle,264095,701.0,78220.0,29.6,701.0,Feb 10,2024
It Remains,242996,2352.0,113743.0,46.8,2352.0,Jan 18,2024
No Way Up,216884,797.0,78765.0,36.3,158.0,Jan 26,2024
Alienoid: The Return to the Future,192288,1760.0,93000.0,48.4,1760.0,Jan 10,2024
Dog Days,176084,612.0,65006.0,36.9,612.0,Feb 23,2024
Katak: The Brave Beluga,133921,902.0,16374.0,12.2,363.0,Jan 21,2024
Pororo Popstar Adventure,124184,543.0,65243.0,52.5,543.0,Feb 16,2024
Sana,111356,1210.0,62475.0,56.1,1210.0,Jan 10,2024
The Exorcists,97296,668.0,59812.0,61.5,668.0,Feb 23,2024
All Fun and Games,88797,1261.0,39431.0,44.4,1261.0,Jan 26,2024
Sang Den,83140,1041.0,28371.0,34.1,381.0,Feb 10,2024
Night Swim,81462,786.0,57761.0,70.9,786.0,Feb 23,2024
The Verge of Death,53155,731.0,29841.0,56.1,731.0,Jan 5,2024
The Bricklayer,51724,818.0,36824.0,71.2,818.0,Jan 5,2024
The Promised Land,47102,937.0,47102.0,100.0,937.0,Mar 22,2024
Marita,47089,406.0,35524.0,75.4,406.0,Mar 8,2024
Noryang: Deadly Sea,44174,439.0,13209.0,29.9,439.0,Jan 21,2024
The Taste of Things,38473,577.0,38473.0,100.0,577.0,Mar 22,2024
Ape vs. Mecha Ape,37591,682.0,26033.0,69.3,682.0,Jan 12,2024
Silent Love,25849,499.0,16760.0,64.8,499.0,Mar 8,2024
Dead Man,21735,594.0,21735.0,100.0,594.0,Mar 22,2024
Trà,16984,338.0,16984.0,100.0,338.0,Feb 10,2024
Tokyo MER,13517,231.0,4238.0,31.4,231.0,Jan 21,2024
Miller's Girl,12084,261.0,12084.0,100.0,261.0,Feb 16,2024
Rascal Does Not Dream of a Knapsack Kid,11559,223.0,8061.0,69.7,223.0,Mar 1,2024
Cellphone,11396,238.0,7193.0,63.1,238.0,Mar 1,2024
Slyth: The Hunt Saga,10039,170.0,4915.0,49.0,170.0,Mar 15,2024
Digimon Adventure 02: The Beginning,9130,165.0,4794.0,52.5,165.0,Jan 21,2024
Bob Marley: One Love,3894,65.0,2064.0,53.0,65.0,Mar 15,2024
City Hunter the Movie: Angel Dust,1088,94.0,1088.0,100.0,94.0,Mar 1,2024
