Release Group,Gross,Maxtheater,Openning,Percent of total,Openning theater,Date,Year
Spider-Man: Homecoming,"$2,140,029",305,"$904,404",42.3%,305,Jul 7,2017
Resident Evil: The Final Chapter,"$1,200,838",135,"$481,966",40.1%,135,Feb 10,2017
Smurfs: The Lost Village,"$1,090,419",140,"$413,659",37.9%,140,Apr 28,2017
Ferdinand,"$1,071,470",182,"$456,724",42.6%,182,Dec 15,2017
War for the Planet of the Apes,"$977,187",,,,,Jul 14,2017
The Great Wall,"$805,200",114,"$291,298",36.2%,114,Feb 3,2017
Murder on the Orient Express,"$683,912",,,,,Dec 1,2017
The Foreigner,"$673,511",,"$326,000",48.4%,,Oct 5,2017
Happy Death Day,"$628,199",131,"$219,211",34.9%,129,Oct 27,2017
The Greatest Showman,"$623,813",,,,,Dec 29,2017
Alien: Covenant,"$602,918",,,,,May 12,2017
John Wick: Chapter 2,"$553,757",89,"$107,655",19.4%,89,Feb 10,2017
Fifty Shades Darker,"$541,678",113,"$143,341",26.5%,113,Feb 10,2017
Split,"$514,473",108,"$128,692",25%,108,Feb 17,2017
Why Him?,"$423,183",,,,,Jan 13,2017
Power Rangers,"$411,762",,"$198,202",48.1%,,Mar 24,2017
Baby Driver,"$361,517",109,"$155,190",42.9%,109,Jun 30,2017
Blade Runner 2049,"$346,535",168,"$234,533",67.7%,168,Oct 20,2017
Flatliners,"$321,778",130,"$118,794",36.9%,130,Nov 3,2017
Atomic Blonde,"$292,983",,,,,Jul 28,2017
The Dark Tower,"$285,230",124,"$136,952",48%,124,Aug 4,2017
American Made,"$276,981",100,"$116,551",42.1%,100,Aug 25,2017
Get Out,"$252,358",107,"$138,622",54.9%,107,Apr 6,2017
Arrival,"$249,407",96,"$96,537",38.7%,96,Jan 6,2017
Monster Family,"$238,124",,,,,Sep 1,2017
Wonder,"$237,874",,"$62,599",26.3%,,Dec 29,2017
My Little Pony: The Movie,"$237,588",,"$91,600",38.6%,,Oct 20,2017
Valerian and the City of a Thousand Planets,"$228,211",81,"$102,759",45%,70,Jul 28,2017
Son of Bigfoot,"$200,631",,,,,Aug 18,2017
The Emoji Movie,"$199,665",113,"$105,546",52.9%,113,Aug 4,2017
Life,"$178,636",82,"$72,321",40.5%,82,Mar 24,2017
Only the Brave,"$133,762",,"$56,469",42.2%,,Oct 20,2017
Pitch Perfect 3,"$126,276",85,"$54,726",43.3%,85,Dec 29,2017
Sleepless,"$124,455",90,"$61,901",49.7%,90,Jan 13,2017
American Assassin,"$100,337",,"$122,450",122%,,Sep 22,2017
24 Hours to Live,"$85,681",,,,,Nov 3,2017
Patriots Day,"$78,482",,,,,Jan 6,2017
Logan Lucky,"$77,454",,"$50,698",65.5%,,Sep 15,2017
Rough Night,"$56,239",34,"$18,749",33.3%,34,Jul 28,2017
Loving Vincent,"$48,507",,,,,Oct 6,2017
The Beguiled,"$46,064",56,"$15,264",33.1%,56,Jul 14,2017
The Space Between Us,"$44,494",,,,,Mar 24,2017
The Mountain Between Us,"$41,792",,,,,Nov 17,2017
Victoria & Abdul,"$27,394",69,"$8,160",29.8%,69,Nov 24,2017
Wonder Wheel,"$15,295",58,"$8,113",53%,58,Dec 8,2017
The Shack,"$12,035",50,,,,Mar 3,2017
The Lost City of Z,"$8,426",,,,,May 19,2017
Mark Felt: The Man Who Brought Down the White House,"$4,567",,,,,Nov 17,2017
Jurassic World: Fallen Kingdom,"$4,142,077",159,"$1,585,144",38.3%,154,Jun 8,2018
Deadpool 2,"$4,137,423",431,"$2,016,162",48.7%,431,May 18,2018
Venom,"$3,789,755",501,"$1,050,309",27.7%,501,Oct 12,2018
Skyscraper,"$2,295,536",159,"$633,291",27.6%,156,Jul 13,2018
Hotel Transylvania 3: Summer Vacation,"$2,109,740",260,"$499,549",23.7%,260,Jul 11,2018
Johnny English Strikes Again,"$1,957,588",166,"$719,066",36.7%,163,Sep 21,2018
Insidious: The Last Key,"$1,829,548",330,"$768,640",42%,330,Jan 5,2018
Pacific Rim: Uprising,"$1,327,032",145,"$731,734",55.1%,143,Mar 23,2018
Maze Runner: The Death Cure,"$1,313,117",283,"$473,817",36.1%,283,Jan 26,2018
Peter Rabbit,"$1,043,544",111,"$265,427",25.4%,111,Feb 16,2018
The Grinch,"$712,889",164,"$346,738",48.6%,163,Nov 9,2018
Fifty Shades Freed,"$654,225",136,"$145,006",22.2%,136,Feb 14,2018
Spider-Man: Into the Spider-Verse,"$651,668",178,"$130,945",20.1%,178,Dec 14,2018
Mortal Engines,"$474,440",164,"$311,842",65.7%,164,Dec 7,2018
The Possession of Hannah Grace,"$463,686",170,"$185,723",40.1%,170,Dec 21,2018
Goosebumps 2: Haunted Halloween,"$407,046",186,"$186,112",45.7%,186,Oct 26,2018
Paddington 2,"$405,610",,,,,Jan 12,2018
The Equalizer 2,"$352,144",165,"$159,127",45.2%,165,Aug 24,2018
The Shape of Water,"$350,362",,,,,Feb 2,2018
The Darkest Minds,"$332,589",188,"$187,183",56.3%,188,Aug 3,2018
Alpha,"$308,110",156,"$136,258",44.2%,156,Aug 17,2018
Robin Hood,"$291,383",,"$128,516",44.1%,,Nov 30,2018
Early Man,"$289,555",,,,,Feb 16,2018
Burn the Stage: The Movie,"$264,507",,,,,Nov 15,2018
The Girl in the Spider's Web,"$249,060",205,"$136,305",54.7%,205,Nov 9,2018
Show Dogs,"$235,238",131,"$79,584",33.8%,131,Jun 8,2018
Searching,"$214,311",155,"$77,575",36.2%,155,Nov 30,2018
Mamma Mia! Here We Go Again,"$202,981",118,"$82,833",40.8%,118,Jul 20,2018
The House with a Clock in Its Walls,"$188,971",,,,,Sep 28,2018
"Love, Simon","$179,808",,,,,May 4,2018
Down a Dark Hall,"$164,619",151,"$76,408",46.4%,151,Aug 17,2018
The Spy Who Dumped Me,"$163,620",223,"$58,849",36%,223,Aug 3,2018
12 Strong,"$150,963",,"$68,260",45.2%,,Jan 26,2018
Adrift,"$103,700",83,"$38,380",37%,83,Jun 8,2018
A Simple Favor,"$101,430",,"$35,246",34.7%,,Oct 19,2018
Den of Thieves,"$89,643",35,"$59,000",65.8%,35,Feb 2,2018
First Man,"$74,606",100,"$38,657",51.8%,100,Oct 19,2018
Hotel Artemis,"$66,669",,"$127,025",190.5%,,Jun 15,2018
Lady Bird,"$60,824",71,"$26,570",43.7%,71,Feb 23,2018
A Wizard's Tale,"$48,004",,,,,Jul 20,2018
I Still See You,"$45,024",,,,,Oct 5,2018
Gringo,"$43,123",,,,,Mar 23,2018
Sicario: Day of the Soldado,"$40,553",,"$95,893",236.5%,,Jul 6,2018
Bilal: A New Breed of Hero2018 Re-release,"$40,183",101,,,,Feb 2,2018
Darkest Hour,"$38,671",65,"$20,843",53.9%,65,Jan 19,2018
Bilal: A New Breed of Hero,"$35,473",101,,,,Jan 31,2018
Hostile,"$27,344",,,,,Jun 1,2018
Isle of Dogs,"$25,807",,,,,Jun 1,2018
"Three Billboards Outside Ebbing, Missouri","$25,007",,,,,Mar 8,2018
Kin,"$15,357",57,"$8,095",52.7%,57,Sep 14,2018
All the Money in the World,"$15,000",55,,,,Jan 12,2018
The Commuter,"$6,692",,,,,Feb 28,2018
Based on a True Story,"$4,275",14,"$2,202",51.5%,14,Mar 23,2018
Avengers: Endgame,"$11,703,305",,"$2,971,259",25.4%,,Apr 26,2019
Dreamy Eyes,"$7,061,163","8,229","$1,772,473",25.1%,"8,229",Dec 19,2019
Fast & Furious Presents: Hobbs & Shaw,"$6,708,647","9,701","$2,100,284",31.3%,"9,701",Aug 2,2019
Win My Baby Back,"$5,564,332",,,,,Feb 5,2019
Furie,"$4,992,672",,,,,Feb 22,2019
Spider-Man: Far from Home,"$4,774,244","8,657","$1,617,278",33.9%,"8,657",Jul 3,2019
Captain Marvel,"$4,008,703",,"$1,941,441",48.4%,,Mar 8,2019
The Lion King,"$3,966,338","7,787","$1,316,871",33.2%,"7,787",Jul 17,2019
Dora and the Lost City of Gold,"$3,937,972","1,312","$12,249",0.3%,"1,312",Aug 9,2019
Maleficent: Mistress of Evil,"$3,647,851","7,687","$1,520,574",41.7%,"7,687",Oct 18,2019
Face Off: The Walking Guests,"$3,592,627",,"$1,199,622",33.4%,,Apr 11,2019
Aladdin,"$3,475,046","1,254","$1,029,650",29.6%,,May 23,2019
Godzilla: King of the Monsters,"$3,390,713","1,645","$1,351,097",39.8%,,May 31,2019
Frozen II,"$3,351,572","7,961","$1,226,089",36.6%,"7,961",Nov 20,2019
How to Train Your Dragon: The Hidden World,"$3,203,827",177,"$1,596,100",49.8%,177,Feb 8,2019
It Chapter Two,"$3,198,434","7,443","$1,330,799",41.6%,"7,443",Sep 6,2019
Parasite,"$3,148,949","4,291","$624,238",19.8%,"4,291",Jun 20,2019
Joker,"$3,030,739","7,757","$1,196,496",39.5%,"7,757",Oct 3,2019
Sister Sister,"$2,978,284","4,287","$586,156",19.7%,"4,287",Dec 18,2019
The Secret Life of Pets 2,"$2,774,499","3,361","$52,325",1.9%,465,Jul 6,2019
Annabelle Comes Home,"$2,772,708","1,962",,,,Jun 23,2019
Blind Shaman,"$2,502,948","3,602","$869,810",34.8%,4,Nov 6,2019
Jumanji: The Next Level,"$2,480,750",551,"$811,001",32.7%,551,Dec 11,2019
Friend Zone,"$2,115,225",,"$471,077",22.3%,,Mar 15,2019
Alita: Battle Angel,"$2,071,567",322,"$1,503,851",72.6%,322,Feb 15,2019
13rd Sister,"$1,959,302",,"$630,274",32.2%,,Mar 29,2019
Dear Devil Brother,"$1,950,104","4,470","$458,922",23.5%,"4,470",Nov 27,2019
Crawl,"$1,947,055","4,428","$641,069",32.9%,"4,428",Aug 16,2019
My Dear Assistant,"$1,908,077",,,,,Jan 4,2019
Kumanthong,"$1,907,218","5,643","$691,179",36.2%,"5,643",Oct 8,2019
Shazam!,"$1,822,160",,"$774,486",42.5%,,Apr 5,2019
Home Sweet Home,"$1,624,955","5,977","$876,297",53.9%,"5,977",Oct 24,2019
John Wick: Chapter 3 - Parabellum,"$1,566,580",65,"$670,834",42.8%,,May 15,2019
Terminator: Dark Fate,"$1,558,233","5,487","$700,872",45%,"5,487",Oct 31,2019
Pokémon: Detective Pikachu,"$1,512,473",,"$582,913",38.5%,,May 10,2019
Dark Phoenix,"$1,469,806","1,981",,,,Jul 6,2019
Us,"$1,400,192",,"$479,615",34.3%,,Mar 20,2019
Romang,"$1,374,240","1,899","$278,207",20.2%,"1,829",Jul 26,2019
Men in Black: International,"$1,291,570","4,838","$573,682",44.4%,"4,838",Jun 13,2019
The Angry Birds Movie 2,"$1,278,415","2,667","$181,120",14.2%,2,Aug 17,2019
Angel Has Fallen,"$1,225,314","3,391","$399,645",32.6%,"3,391",Aug 23,2019
Scary Stories to Tell in the Dark,"$1,223,354","3,524","$515,849",42.2%,"3,524",Aug 9,2019
Toy Story 4,"$1,186,389","3,790","$341,662",28.8%,"3,790",Jun 20,2019
The Perfect Wedding,"$1,134,146",,,,,Feb 22,2019
Doraemon: Nobita's Chronicle of the Moon Exploration,"$1,055,849","1,373","$366,901",34.7%,,May 22,2019
Spies in Disguise,"$1,049,576","2,344","$284,653",27.1%,"2,344",Dec 26,2019
The Curse of La Llorona,"$1,022,504",,"$169,517",16.6%,,Apr 30,2019
Superstar Teacher,"$994,646","2,670","$71,741",7.2%,480,Aug 23,2019
Ne Zha,"$909,807","2,070","$294,204",32.3%,"2,070",Sep 17,2019
47 Meters Down: Uncaged,"$866,010","1,749","$438,619",50.6%,191,Sep 26,2019
Exit,"$841,337","1,513","$180,779",21.5%,"1,513",Aug 9,2019
Charlie's Angels,"$837,992",389,"$384,728",45.9%,389,Nov 14,2019
One Piece: Stampede,"$797,604","2,837","$281,971",35.4%,"2,837",Dec 31,2019
Hellboy,"$752,834",1,,,1,Apr 11,2019
Happy Death Day 2U,"$702,558",174,"$264,344",37.6%,174,Feb 15,2019
Knives Out,"$689,376",,"$267,446",38.8%,,Nov 28,2019
A Dog's Way Home,"$607,777",151,"$190,224",31.3%,151,Jan 11,2019
Escape Room,"$592,661",172,"$184,074",31.1%,172,Jan 4,2019
Dumbo,"$559,649",,"$253,158",45.2%,,Mar 29,2019
Weathering with You,"$539,221","1,987","$220,975",41%,"1,987",Aug 30,2019
The Hustle,"$532,807",,"$199,544",37.5%,,May 10,2019
The Queen's Corgi,"$517,913",,"$62,392",12%,,Apr 26,2019
Love Battle,"$508,781","2,356","$246,027",48.4%,"2,356",Sep 13,2019
Pee Nak,"$500,963",101,"$234,511",46.8%,,May 24,2019
Miss Gangster,"$486,842","2,250","$175,668",36.1%,"2,250",Nov 15,2019
Doctor Sleep,"$485,284",949,"$136,731",28.2%,2,Nov 8,2019
The Mother,"$481,834",,"$178,470",37%,,Mar 29,2019
Butterfly House,"$435,955","2,088","$140,823",32.3%,"2,088",Aug 28,2019
Autumn Promise,"$413,088",,"$160,301",38.8%,,May 10,2019
Zombieland: Double Tap,"$397,834",213,"$192,088",48.3%,213,Oct 25,2019
Queen of Spades: Through the Looking Glass,"$391,670","1,973","$182,268",46.5%,"1,973",Jul 12,2019
Wonder Park,"$385,973",,"$206,150",53.4%,,Mar 15,2019
The Bad Guys: The Movie,"$383,662","1,301","$152,256",39.7%,"1,301",Oct 11,2019
Naughty Teenager,"$362,606","1,744","$148,309",40.9%,"1,744",Sep 20,2019
Abominable,"$356,691","2,010","$203,102",56.9%,"2,010",Oct 4,2019
Goodbye Mother,"$355,938",596,"$162,054",45.5%,2,Aug 16,2019
Detective Conan: The Fist of Blue Sapphire,"$298,655","1,181","$117,256",39.3%,"1,181",Aug 22,2019
P Storm,"$291,324","1,335","$135,852",46.6%,"1,335",Jul 12,2019
Bring the Soul: The Movie,"$279,517","1,192","$82,902",29.7%,937,Aug 7,2019
Five Feet Apart,"$266,907",,"$33,781",12.7%,,Mar 29,2019
Inseparable Bros,"$260,073",,"$85,725",33%,,May 10,2019
Trouble,"$244,482",545,"$54,430",22.3%,454,Oct 11,2019
Jade Dynasty,"$238,620","1,609","$129,013",54.1%,"1,609",Sep 20,2019
The Addams Family,"$212,509",181,"$103,661",48.8%,181,Oct 25,2019
Last Christmas,"$207,026",185,"$91,221",44.1%,185,Dec 6,2019
Geugye doel nom,"$205,213",992,"$72,367",35.3%,992,Oct 25,2019
Terra Willy,"$204,672",1,,,1,Apr 11,2019
Hotel Mumbai,"$199,648",,"$57,779",28.9%,,Mar 22,2019
The Water Witch,"$199,648",,"$12,720",6.4%,,Mar 29,2019
The White Storm 2: Drug Lords,"$198,886",689,"$77,591",39%,689,Aug 9,2019
Sadako,"$198,193","1,506","$88,407",44.6%,"1,506",Jul 19,2019
Shadow,"$192,615",,"$64,214",33.3%,,Mar 29,2019
Ad Astra,"$189,428","1,313","$95,840",50.6%,"1,313",Sep 20,2019
Playing with Fire,"$179,639",932,"$108,829",60.6%,932,Nov 8,2019
Cold Pursuit,"$169,306",,,,,Mar 1,2019
Once Upon a Time... in Hollywood,"$169,139",773,"$81,857",48.4%,773,Aug 16,2019
The Happiness of a Mother,"$167,217",,"$114,186",68.3%,,Mar 8,2019
A Shaun the Sheep Movie: Farmageddon,"$164,195","1,153","$104,287",63.5%,"1,153",Sep 27,2019
Money,"$163,403",,,,,May 4,2019
The Golem,"$161,424",,"$28,097",17.4%,,Mar 15,2019
The Third Wife,"$147,902",,"$147,902",100%,,May 17,2019
Rambo: Last Blood,"$147,152",650,"$50,588",34.4%,650,Dec 26,2019
Sang Krasue,"$142,637",70,"$46,997",32.9%,,May 31,2019
Nguoi La Oi,"$134,222","1,179","$77,845",58%,"1,179",Sep 13,2019
Dino King 3D: Journey to Fire Mountain,"$133,384",815,"$65,316",49%,815,Jun 14,2019
Iron Mask,"$130,209",707,"$57,278",44%,707,Sep 20,2019
Escape Plan: The Extractors,"$129,485","1,045","$66,009",51%,"1,045",Jul 12,2019
Good Morning and Good Night,"$128,079",909,"$41,595",32.5%,909,Sep 26,2019
Ford v Ferrari,"$126,561",891,"$51,199",40.5%,891,Nov 29,2019
Crazy Romance,"$125,853",938,"$57,024",45.3%,938,Oct 4,2019
Vo Gian Dao,"$124,606",,"$73,728",59.2%,,May 24,2019
Truyên Ngan,"$122,699","1,403","$122,699",100%,"1,403",Sep 26,2019
Mermaid Down,"$116,466","1,082","$72,105",61.9%,"1,082",Nov 22,2019
21 Bridges,"$113,607","1,060","$51,732",45.5%,"1,060",Nov 29,2019
"Cheer Up, Mr. Lee","$113,348","1,043","$59,015",52.1%,"1,043",Sep 13,2019
Miss & Mrs. Cops,"$110,575",489,,,,Jul 6,2019
Red Shoes and the Seven Dwarfs,"$110,168",499,"$40,075",36.4%,499,Dec 27,2019
Death Whisper,"$109,845",893,"$53,201",48.4%,893,Aug 23,2019
Norm of the North: King Sized Adventure,"$106,889",690,"$62,661",58.6%,690,Aug 2,2019
Countdown,"$104,125",684,"$36,447",35%,684,Oct 25,2019
Heavenly Being with You,"$104,041","1,077","$57,588",55.4%,"1,077",Jul 12,2019
The Art of Racing in the Rain,"$100,431",839,"$65,369",65.1%,839,Sep 13,2019
Ghost Father,"$98,619","1,048","$59,773",60.6%,"1,048",Aug 23,2019
Kim Ji-young: Born 1982,"$96,756",741,"$34,850",36%,741,Nov 1,2019
The Lego Movie 2: The Second Part,"$93,850",,,,,Feb 8,2019
Zombie for Sale,"$92,519",,"$54,868",59.3%,,Mar 15,2019
Black Christmas,"$88,387","1,101","$42,943",48.6%,"1,101",Dec 13,2019
Nhan Duyen: Nguoi Yeu Tien Kiep,"$85,762","1,023","$55,097",64.2%,"1,023",Oct 4,2019
Start-Up,"$85,749",274,"$19,173",22.4%,274,Dec 27,2019
Upin & Ipin: Keris Siamang Tunggal,"$83,857",,"$13,719",16.4%,,Apr 26,2019
Line Walker 2: Invisible Spy,"$82,148",565,"$36,628",44.6%,565,Sep 6,2019
The Current War,"$81,918",918,"$52,379",63.9%,918,Jul 26,2019
Tim Chong Cho Me,"$78,512","1,404","$54,121",68.9%,"1,404",Jul 26,2019
Ever After,"$76,243",,,,,Mar 1,2019
"My Tyrano: Together, Forever","$73,858",466,"$27,193",36.8%,466,Dec 13,2019
UglyDolls,"$72,871",,"$13,773",18.9%,,May 1,2019
Sunset Promise,"$72,674",,"$48,028",66.1%,,May 24,2019
Love and Run,"$71,637",760,,,,Oct 4,2019
GG Bond: Lollipop in Fantasy,"$70,578",306,"$31,195",44.2%,306,Aug 30,2019
The Big Trip,"$70,198",,"$42,750",60.9%,,May 31,2019
"The Gangster, the Cop, the Devil","$67,518",50,"$28,098",41.6%,,May 31,2019
"Love, Again","$61,732",476,"$28,956",46.9%,476,Dec 27,2019
Boo!,"$59,652",37,"$47,725",80%,1,Jun 21,2019
Infection,"$58,953",502,"$26,896",45.6%,502,Oct 31,2019
Ice Princess Lily,"$58,552",,"$46,161",78.8%,,May 17,2019
BoBoiBoy Movie 2,"$56,245",250,"$23,333",41.5%,250,Aug 30,2019
Gemini Man,"$52,497","2,649","$279,190",531.8%,"2,649",Oct 11,2019
Deadtectives,"$50,728",643,"$32,693",64.4%,643,Sep 13,2019
The Hole in the Ground,"$48,767",,"$26,927",55.2%,,Apr 19,2019
The Intruder,"$48,271",,"$27,824",57.6%,,May 17,2019
Step Up China,"$46,406",530,"$29,875",64.4%,530,Jul 19,2019
Rocketman,"$45,733","1,290","$19,277",42.2%,447,Jun 14,2019
Kuntilanak 2,"$45,422",596,"$26,299",57.9%,596,Nov 8,2019
Innocent Witness,"$45,214",,,,,Mar 1,2019
Primal,"$45,071",442,"$23,946",53.1%,442,Dec 27,2019
Warning: Do Not Play,"$44,662",829,"$28,400",63.6%,829,Sep 26,2019
Yesterday,"$44,440",439,"$23,088",52%,439,Sep 20,2019
Ngôc Oi Tuôi 17,"$42,238",676,"$18,201",43.1%,676,Nov 20,2019
Cats,"$39,583",42,,,,Dec 24,2019
Stray,"$39,370",573,"$20,661",52.5%,573,Nov 15,2019
The Aeronauts,"$38,017",678,,,,Jun 12,2019
Man of Men,"$37,438",689,,,,Jun 12,2019
Break,"$35,297",,"$20,330",57.6%,,Apr 19,2019
You and I,"$35,211",789,,,,Jun 12,2019
Violet Evergarden: Eternity and the Auto Memory Doll,"$34,326",300,"$22,494",65.5%,300,Nov 1,2019
In the Trap,"$33,366",434,,,,Jun 12,2019
The Farewell,"$31,389",499,"$16,751",53.4%,499,Oct 11,2019
Clara,"$30,775",329,,,,Jun 12,2019
Cats,"$30,093",103,"$21,441",71.2%,103,Dec 24,2019
Long Shot,"$29,413",59,,,,Jul 6,2019
Prey2019 Re-release,"$29,323",407,"$17,353",59.2%,407,Sep 20,2019
A Rainy Day in New York,"$28,123",279,"$13,199",46.9%,279,Oct 18,2019
Ghost in the Graveyard,"$27,311",384,"$18,263",66.9%,384,Oct 18,2019
Fortuna's Eye,"$25,213",363,"$14,594",57.9%,363,Jul 12,2019
All the Devil's Men,"$24,615",,"$24,033",97.6%,,Mar 22,2019
"Ca Chon, Anh Dung Di!","$24,130",,"$16,769",69.5%,,May 15,2019
Mary,"$23,890",301,"$14,622",61.2%,301,Oct 18,2019
"Hello, Love, Goodbye","$23,631",325,"$10,620",44.9%,325,Sep 26,2019
The Call of Destiny,"$21,651",,,,,Mar 1,2019
The Drone,"$20,429",465,"$13,565",66.4%,465,Nov 22,2019
Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,"$20,352",280,"$12,474",61.3%,280,Sep 6,2019
At the End of the Tunnel2019 Re-release,"$18,887",,"$8,250",43.7%,,May 31,2019
Race to Freedom: Um Bok Dong,"$18,193",,"$17,617",96.8%,,Mar 22,2019
Aladdin 2,"$17,965",,"$10,752",59.8%,,Apr 19,2019
Running Man,"$17,387",,"$11,278",64.9%,,Apr 19,2019
Dragon Ball Super: Broly,"$16,864",,"$16,553",98.2%,,Mar 22,2019
Bikes,"$16,618",277,"$10,545",63.5%,277,Jun 26,2019
The Command,"$14,399",238,"$7,956",55.3%,238,Aug 16,2019
Danur 2: Maddah,"$13,432",226,"$6,855",51%,226,Nov 29,2019
Itsi Bitsi2019 Re-release,"$13,410",307,"$13,329",99.4%,307,Sep 13,2019
A Little Princess,"$12,347",328,,,,Jun 12,2019
The Big Wish,"$11,973",282,"$9,030",75.4%,282,Nov 1,2019
The Vampire,"$10,759",246,"$5,809",54%,246,Aug 23,2019
Elcano & Magellan: The First Voyage Around the World,"$9,759",148,"$8,071",82.7%,148,Nov 29,2019
Ghost Walk,"$9,405",167,"$5,281",56.2%,167,Sep 13,2019
The Murder of Nicole Brown Simpson,"$8,931",128,"$4,674",52.3%,128,Dec 27,2019
Condorito: The Movie,"$8,431",,,,,Mar 1,2019
Trading Paint,"$6,898",182,,,,May 7,2019
Khun Phaen Begins,"$6,892",164,"$3,957",57.4%,164,Nov 8,2019
